id,ticker,name,market,asset_type,ipo_date,delisting_date,status,timestamp,sector,logo_url
10678,9594.SR,Al-Modawat Specialized Medical Co.,4,1,,,Active,2024-06-21 22:46:34.198295,Healthcare,https://financialmodelingprep.com/image-stock/9594.SR.png
10677,9550.SR,Sure Global Tech Company,4,1,,,Active,2024-06-21 22:46:33.714548,Technology,https://financialmodelingprep.com/image-stock/9550.SR.png
10676,9529.SR,Raoom trading Company,4,1,,,Active,2024-06-21 22:46:32.904544,Industrials,https://financialmodelingprep.com/image-stock/9529.SR.png
10675,9552.SR,Saudi Top Trading Co.,4,1,,,Active,2024-06-21 22:46:32.438963,Basic Materials,https://financialmodelingprep.com/image-stock/9552.SR.png
10674,1010.SR,Riyad Bank,4,1,,,Active,2024-06-21 22:46:31.963386,Financial Services,https://financialmodelingprep.com/image-stock/1010.SR.png
10673,1050.SR,Banque Saudi Fransi,4,1,,,Active,2024-06-21 22:46:31.469060,Financial Services,https://financialmodelingprep.com/image-stock/1050.SR.png
10672,2030.SR,Saudi Arabia Refineries Company,4,1,,,Active,2024-06-21 22:46:30.976779,Industrials,https://financialmodelingprep.com/image-stock/2030.SR.png
10671,3004.SR,Northern Region Cement Company,4,1,,,Active,2024-06-21 22:46:30.499320,Basic Materials,https://financialmodelingprep.com/image-stock/3004.SR.png
10670,3092.SR,Riyadh Cement Co.,4,1,,,Active,2024-06-21 22:46:30.026665,Basic Materials,https://financialmodelingprep.com/image-stock/3092.SR.png
10669,2290.SR,Yanbu National Petrochemical Company,4,1,,,Active,2024-06-21 22:46:29.539821,Basic Materials,https://financialmodelingprep.com/image-stock/2290.SR.png
10668,3020.SR,Yamama Saudi Cement Company,4,1,,,Active,2024-06-21 22:46:29.061376,Basic Materials,https://financialmodelingprep.com/image-stock/3020.SR.png
10667,6001.SR,Halwani Bros. Co. Ltd.,4,1,,,Active,2024-06-21 22:46:28.551317,Consumer Defensive,https://financialmodelingprep.com/image-stock/6001.SR.png
10666,4320.SR,Alandalus Property Company,4,1,,,Active,2024-06-21 22:46:28.090321,Real Estate,https://financialmodelingprep.com/image-stock/4320.SR.png
10665,9588.SR,Riyadh Steel Co.,4,1,,,Active,2024-06-21 22:46:27.626492,Basic Materials,https://financialmodelingprep.com/image-stock/9588.SR.png
10664,9540.SR,National Environmental Recycling Company,4,1,,,Active,2024-06-21 22:46:27.160218,Industrials,https://financialmodelingprep.com/image-stock/9540.SR.png
10663,9546.SR,Naba Alsaha Medical Services Company,4,1,,,Active,2024-06-21 22:46:26.681864,Healthcare,https://financialmodelingprep.com/image-stock/9546.SR.png
10662,9524.SR,Advance International Company for Communication and Information Technology,4,1,,,Active,2024-06-21 22:46:26.184630,Industrials,https://financialmodelingprep.com/image-stock/9524.SR.png
10661,9538.SR,Naseej for Technology Co.,4,1,,,Active,2024-06-21 22:46:25.710322,Technology,https://financialmodelingprep.com/image-stock/9538.SR.png
10660,9553.SR,Molan Steel Company,4,1,,,Active,2024-06-21 22:46:25.252312,Basic Materials,https://financialmodelingprep.com/image-stock/9553.SR.png
10659,9536.SR,Arabian Food & Dairy Factories Company,4,1,,,Active,2024-06-21 22:46:24.796620,Consumer Defensive,https://financialmodelingprep.com/image-stock/9536.SR.png
10658,9556.SR,Nofoth Food Products Company,4,1,,,Active,2024-06-21 22:46:24.304277,Consumer Defensive,https://financialmodelingprep.com/image-stock/9556.SR.png
10657,9532.SR,Aljouf Mineral Water Bottling Co.,4,1,,,Active,2024-06-21 22:46:21.956492,Consumer Defensive,https://financialmodelingprep.com/image-stock/9532.SR.png
10656,9530.SR,Arabian International Healthcare Holding Company,4,1,,,Active,2024-06-21 22:46:21.460636,Healthcare,https://financialmodelingprep.com/image-stock/9530.SR.png
10655,9578.SR,Atlas Elevators General Trading and Contracting Co.,4,1,,,Active,2024-06-21 22:46:20.972440,Industrials,https://financialmodelingprep.com/image-stock/9578.SR.png
10654,9570.SR,Tam Development Co.,4,1,,,Active,2024-06-21 22:46:20.501701,Industrials,https://financialmodelingprep.com/image-stock/9570.SR.png
10653,8270.SR,Buruj Cooperative Insurance Company,4,1,,,Active,2024-06-21 22:46:20.031253,Financial Services,https://financialmodelingprep.com/image-stock/8270.SR.png
10652,9555.SR,Leen Alkhair Trading Company,4,1,,,Active,2024-06-21 22:46:19.509175,Consumer Defensive,https://financialmodelingprep.com/image-stock/9555.SR.png
10651,9539.SR,Aqaseem Factory for Chemicals and Plastics Co.,4,1,,,Active,2024-06-21 22:46:19.010952,Energy,https://financialmodelingprep.com/image-stock/9539.SR.png
10650,9543.SR,Saudi Networkers Services Company,4,1,,,Active,2024-06-21 22:46:18.534184,Industrials,https://financialmodelingprep.com/image-stock/9543.SR.png
10649,9590.SR,Armah Sports Co.,4,1,,,Active,2024-06-21 22:46:18.053628,Consumer Cyclical,https://financialmodelingprep.com/image-stock/9590.SR.png
10648,9534.SR,Saudi Azm for Communication and Information Technology Company,4,1,,,Active,2024-06-21 22:46:17.578885,Technology,https://financialmodelingprep.com/image-stock/9534.SR.png
10647,9526.SR,Jahez International Company for Information Systems Technology,4,1,,,Active,2024-06-21 22:46:17.107233,Consumer Cyclical,https://financialmodelingprep.com/image-stock/9526.SR.png
10646,9525.SR,Alwasail Industrial Company,4,1,,,Active,2024-06-21 22:46:16.609927,Basic Materials,https://financialmodelingprep.com/image-stock/9525.SR.png
10645,9574.SR,Professional Medical Expertise Co.,4,1,,,Active,2024-06-21 22:46:16.143767,Healthcare,https://financialmodelingprep.com/image-stock/9574.SR.png
10644,2100.SR,Wafrah for Industry and Development Company,4,1,,,Active,2024-06-21 22:46:15.684206,Consumer Defensive,https://financialmodelingprep.com/image-stock/2100.SR.png
10643,4210.SR,Saudi Research and Media Group,4,1,,,Active,2024-06-21 22:46:15.212152,Communication Services,https://financialmodelingprep.com/image-stock/4210.SR.png
10642,4346.SR,Middle East Financial Investment Company,4,1,,,Active,2024-06-21 22:46:14.724096,Real Estate,https://financialmodelingprep.com/image-stock/4346.SR.png
10641,1321.SR,East Pipes Integrated Company for Industry,4,1,,,Active,2024-06-21 22:46:14.225369,Basic Materials,https://financialmodelingprep.com/image-stock/1321.SR.png
10640,4337.SR,Muscat Capital - Al Mashaar REIT Fund,4,1,,,Active,2024-06-21 22:46:13.752225,Real Estate,https://financialmodelingprep.com/image-stock/4337.SR.png
10639,8010.SR,The Company for Cooperative Insurance,4,1,,,Active,2024-06-21 22:46:13.273013,Financial Services,https://financialmodelingprep.com/image-stock/8010.SR.png
10638,8300.SR,Wataniya Insurance Company,4,1,,,Active,2024-06-21 22:46:12.810459,Financial Services,https://financialmodelingprep.com/image-stock/8300.SR.png
10637,9586.SR,Osool and Bakheet Investment Co.,4,1,,,Active,2024-06-21 22:46:12.336305,Financial Services,https://financialmodelingprep.com/image-stock/9586.SR.png
10636,9589.SR,Fad International Co.,4,1,,,Active,2024-06-21 22:46:11.838429,Consumer Cyclical,https://financialmodelingprep.com/image-stock/9589.SR.png
10635,1060.SR,The Saudi British Bank,4,1,,,Active,2024-06-21 22:46:11.364525,Financial Services,https://financialmodelingprep.com/image-stock/1060.SR.png
10634,4292.SR,Ataa Educational Company,4,1,,,Active,2024-06-21 22:46:10.896059,Consumer Defensive,https://financialmodelingprep.com/image-stock/4292.SR.png
10633,4335.SR,Musharaka REIT Fund,4,1,,,Active,2024-06-21 22:46:10.429496,Real Estate,https://financialmodelingprep.com/image-stock/4335.SR.png
10632,1304.SR,Al Yamamah Steel Industries Company,4,1,,,Active,2024-06-21 22:46:09.920283,Basic Materials,https://financialmodelingprep.com/image-stock/1304.SR.png
10631,8280.SR,Al Alamiya for Cooperative Insurance Company,4,1,,,Active,2024-06-21 22:46:09.424199,Financial Services,https://financialmodelingprep.com/image-stock/8280.SR.png
10630,4012.SR,Thob Al Aseel Company,4,1,,,Active,2024-06-21 22:46:08.949209,Consumer Cyclical,https://financialmodelingprep.com/image-stock/4012.SR.png
10629,3090.SR,Tabuk Cement Company,4,1,,,Active,2024-06-21 22:46:08.479548,Basic Materials,https://financialmodelingprep.com/image-stock/3090.SR.png
10628,9571.SR,Munawla Cargo Co. Ltd.,4,1,,,Active,2024-06-21 22:46:08.013556,Industrials,https://financialmodelingprep.com/image-stock/9571.SR.png
10627,4332.SR,Jadwa REIT Al Haramain Fund,4,1,,,Active,2024-06-21 22:46:07.530338,Real Estate,https://financialmodelingprep.com/image-stock/4332.SR.png
10626,8040.SR,Allianz Saudi Fransi Cooperative Insurance Company,4,1,,,Active,2024-06-21 22:46:07.037340,Financial Services,https://financialmodelingprep.com/image-stock/8040.SR.png
10625,8050.SR,Salama Cooperative Insurance Company,4,1,,,Active,2024-06-21 22:46:06.565982,Financial Services,https://financialmodelingprep.com/image-stock/8050.SR.png
10624,2330.SR,Advanced Petrochemical Company,4,1,,,Active,2024-06-21 22:46:06.094214,Basic Materials,https://financialmodelingprep.com/image-stock/2330.SR.png
10623,3005.SR,Umm Al-Qura Cement Company,4,1,,,Active,2024-06-21 22:46:05.626395,Basic Materials,https://financialmodelingprep.com/image-stock/3005.SR.png
10622,6060.SR,Ash-Sharqiyah Development Co.,4,1,,,Active,2024-06-21 22:46:05.147093,Consumer Defensive,https://financialmodelingprep.com/image-stock/6060.SR.png
10621,4162.SR,Almunajem Foods Company,4,1,,,Active,2024-06-21 22:46:04.586103,Consumer Defensive,https://financialmodelingprep.com/image-stock/4162.SR.png
10620,8311.SR,Saudi Enaya Cooperative Insurance Company,4,1,,,Active,2024-06-21 22:46:04.112829,Financial Services,https://financialmodelingprep.com/image-stock/8311.SR.png
10619,4011.SR,Lazurde Company for Jewelry,4,1,,,Active,2024-06-21 22:46:03.645888,Consumer Cyclical,https://financialmodelingprep.com/image-stock/4011.SR.png
10618,4338.SR,Alahli Capital - Al-Ahli Reit Fund,4,1,,,Active,2024-06-21 22:46:03.170574,Real Estate,https://financialmodelingprep.com/image-stock/4338.SR.png
